CivilParish1930Code,CivilParish1930Name,Census1991CPCode1,Census1991CPCode2,Census1991CPCode3,Census1991CPCode4
001,Abbey St Bathans,01001,,,
002,Abdie,14001,,,
003,Abercorn,29001,31001,,
004,Aberdalgie,53001,,,
005,Aberdeen,15001,,,
006,Aberdour (Fife),12001,,,
007,Aberdour (Aberdeenshire),16001,,,
008,Aberfoyle,07001,,,
009,Aberlady,28001,,,
010,Aberlemno,51001,,,
011,Aberlour,19001,,,
012,Abernethy,14039,53002,"echo ""# ctc21-doric-tiles"" >> README.md",
013,Abernethy and Kincardine,20001,,git init,
014,Abernyte,53003,,git add README.md,
015,Aboyne and Glen Tanar,18001,,"git commit -m ""first commit""",
016,Airlie,51002,,git branch -M main,
017,Airth,06001,,git remote add origin https://github.com/CodeTheCity/ctc21-doric-tiles.git,
018,Alford,17001,,git push -u origin main,
019,Alloa,05001,,                ,
020,Alness,25001,,,
021,Alva,05002,,,
022,Alvah,16002,,,
023,Alves,19002,,,
024,Alvie,20002,,,
025,Alyth,53004,,,
026,Ancrum,03001,,,
027,Annan,08001,,,
028,Anstruther Easter,14002,,,
029,Anstruther Wester,14003,,,
030,Anwoth,10001,,,
031,Applecross,25002,,,
032,Applegarth,08002,,,
033,Arbirlot,51003,,,
034,Arbroath and St Vigeans,51004,,,
035,Arbuthnott,18002,,,
036,Ardchattan and Muckairn,23001,32001,,
037,Ardclach,24001,,,
038,Ardersier,22001,,,
039,Ardgour,23002,,,
040,Ardnamurchan,23003,,,
041,Ardoch,53005,,,
042,Ardrossan,37001,,,
043,Arisaig and Moidart,23004,,,
044,Arngask,53006,,,
045,Arrochar,38001,,,
046,Ashkirk,02001,,,
047,Assynt,27001,,,
048,Athelstaneford,28002,,,
049,Auchindoir and Kearn,17002,,,
050,Auchinleck,36001,,,
051,Auchterarder,53007,,,
052,Auchterderran,12002,13001,,
053,Auchtergaven,53008,,,
054,Auchterhouse,52001,,,
055,Auchterless,16003,,,
056,Auchtermuchty,14004,,,
057,Auchtertool,12003,13002,,
058,Auldearn,24002,,,
059,Avoch,25003,,,
060,Avondale,39001,,,
061,Ayr,45001,,,
062,Ayton,01002,,,
063,Baldernock,33001,50001,,
064,Balfron,07002,,,
065,Ballantrae,11020,45002,,
066,Ballingry,12004,,,
067,Balmaclellan,10002,,,
068,Balmaghie,10003,,,
069,Balmerino,14005,,,
070,Balquhidder,07003,,,
071,Banchory-Devenick,18003,,,
072,Banchory-Ternan,18004,,,
073,Banff,16004,,,
074,Barr,45003,,,
075,Barra,56001,,,
076,Barry,51005,,,
077,Barvas,56002,,,
078,Bathgate,31002,,,
079,Beath,12005,,,
080,Bedrule,03002,,,
081,Beith,37002,,,
082,Belhelvie,17003,,,
083,Bellie,19003,,,
084,Bendochy,53009,,,
085,Benholm,18005,,,
086,Bervie,18006,,,
087,Biggar,46001,,,
088,Birnie,19004,,,
089,Birsay and Harray,54001,,,
090,Birse,18007,,,
091,Blackford,53010,,,
092,Blair Atholl,53011,,,
093,Blairgowrie,53012,,,
094,Blantyre,39002,42001,,
095,Bo'ness and Carriden,06002,,,
096,Boharm,19005,,,
097,Boleskine and Abertarff,22002,,,
098,Bolton,28003,,,
099,Bonhill,38002,,,
100,Borgue,10004,,,
101,Borthwick,30001,,,
102,Bothwell,42002,47001,48001,
103,Botriphnie,19006,,,
104,Bourtie,17004,,,
105,Bowden,02002,,,
106,Bower,21001,,,
107,Boyndie,16005,,,
108,Bracadale,26005,,,
109,Brechin,51006,,,
110,Bressay,55001,,,
111,"Broughton, Glenholm and Kilbucho",04001,,,
112,Buchanan,07004,,,
113,Buittle,10005,,,
114,Bunkle and Preston,01003,,,
115,Burntisland,13003,,,
116,Cabrach,19007,,,
117,Cadder,41001,47002,50002,
118,Caddonfoot,02003,,,
119,Caerlaverock,09001,,,
120,Cairnie,17005,,,
121,Callander,07005,,,
122,Cambuslang,39003,41002,,
123,Cambusnethan,48002,,,
124,Cameron,14006,,,
125,Campbeltown,32002,,,
126,Campsie,50003,,,
127,Canisbay,21002,,,
128,Canonbie,08003,,,
129,Caputh,53013,,,
130,Cardross,38003,,,
131,Careston,51007,,,
132,Cargill,53014,,,
133,Carluke,46002,,,
134,Carmichael,46003,,,
135,Carmunnock,39004,41003,,
136,Carmyllie,51008,,,
137,Carnbee,14007,,,
138,Carnock,12006,,,
139,Carnwath,46004,,,
140,Carrington,30002,,,
141,Carsphairn,10006,,,
142,Carstairs,46005,,,
143,Castleton,03003,,,
144,Cathcart,40001,41004,,
145,Cavers,03004,,,
146,Cawdor,24003,,,
147,Ceres,14008,,,
148,Channelkirk,02004,,,
149,Chapel of Garioch,17006,,,
150,Chirnside,01004,,,
151,Clackmannan,05003,,,
152,Clatt,17007,,,
153,Cleish,53015,,,
154,Closeburn,09002,,,
155,Clunie,53016,,,
156,Cluny,17008,,,
157,Clyne,27002,,,
158,Cockburnspath,01005,,,
159,Cockpen,30003,,,
160,Coldingham,01006,,,
161,Coldstream,01007,,,
162,Coll,32026,,,
163,Collace,53017,,,
164,Collessie,14009,,,
165,Colmonell,45004,,,
166,Colonsay and Oronsay,32027,,,
167,Colvend and Southwick,10007,,,
168,Comrie,07006,53018,,
169,Contin,25004,,,
170,Cortachy and Clova,51009,,,
171,Coull,18008,,,
172,Coupar Angus,53019,,,
173,Covington,46006,,,
174,Coylton,36002,45005,,
175,Craig,51010,,,
176,Craigie,45006,,,
177,Craignish,32003,,,
178,Crail,14010,,,
179,Crailing,03005,,,
180,Cramond,29002,,,
181,Cranshaws,01008,,,
182,Cranston,30004,,,
183,Crathie and Braemar,18009,,,
184,Crawford,46007,,,
185,Crawfordjohn,46008,,,
186,Creich (Fife),14011,,,
187,Creich (Highland),27003,,,
188,Crichton,30005,,,
189,Crieff,53020,,,
190,Crimond,16006,,,
191,Cromarty,25005,,,
192,"Cromdale, Inverallan and Advie",20003,,,
193,Cross and Burness,54002,,,
194,Crossmichael,10008,,,
195,Croy and Dalcross,22003,24004,,
196,Cruden,16007,,,
197,Cullen,19008,,,
198,Culross,12007,,,
199,Culsalmond,17009,,,
200,Culter,46009,,,
201,Cults,14012,,,
202,Cumbernauld,35001,,,
203,Cumbrae,37013,,,
204,Cummertrees,08004,,,
205,Cupar,14013,,,
206,Currie,29003,,,
207,Dailly,45007,,,
208,Dairsie,14014,,,
209,Dalgety,12008,,,
210,Dalkeith,30006,,,
211,Dallas,19009,,,
212,Dalmellington,36003,,,
213,Dalmeny,29004,,,
214,Dalry (Dumfries & Galloway),10009,,,
215,Dalry (North Ayrshire),37003,,,
216,Dalrymple,36004,45008,,
217,Dalserf,42003,,,
218,Dalton,08005,,,
219,Dalziel,48003,,,
220,Daviot,17010,,,
221,Daviot and Dunlichity,22004,,,
222,Delting,55002,,,
223,Denny,06003,,,
224,Deskford,19010,,,
225,Dingwall,25006,,,
226,Dirleton,28004,,,
227,Dollar,05004,,,
228,Dolphinton,46010,,,
229,Dores,22005,,,
230,Dornoch,27004,,,
231,Dornock,08006,,,
232,Douglas,46011,,,
233,Drainie,19011,,,
234,Dreghorn,37004,,,
235,Dron,53021,,,
236,Drumblade,17011,,,
237,Drumelzier,04002,,,
238,Drumoak,18010,,,
239,Dryfesdale,08007,,,
240,Drymen,07007,,,
241,Duffus,19012,,,
242,Duirinish,26006,,,
243,Dull,53022,,,
244,Dumbarton,38004,,,
245,Dumfries,09003,,,
246,Dun,51011,,,
247,Dunbar,28005,,,
248,Dunbarney,53023,,,
249,Dunblane and Lecropt,07008,,,
250,Dunbog,14015,,,
251,Dundee,52002,,,
252,Dundee Combination,52003,,,
253,Dundonald,37005,45009,,
254,Dunfermline,12009,,,
255,Dunino,14016,,,
256,Dunipace,06004,,,
257,Dunkeld and Dowally,53024,,,
258,Dunlop,44001,,,
259,Dunnet,21003,,,
260,Dunnichen,51012,,,
261,Dunning,53025,,,
262,Dunnottar,18011,,,
263,Dunoon and Kilmun,32004,,,
264,Dunrossness,55003,,,
265,Duns,01009,,,
266,Dunscore,09004,,,
267,Dunsyre,46012,,,
268,Durisdeer,09005,,,
269,Durness,27005,,,
270,Durris,18012,,,
271,Duthil and Rothiemurchus,20004,,,
272,Dyce,15002,,,
273,Dyke and Moy,19013,,,
274,Eaglesham,40002,,,
275,Earlston,02005,,,
276,Eassie and Nevay,51013,,,
277,East Kilbride,39005,42004,,
278,Eastwood,40003,41005,,
279,Eccles,01010,,,
280,Ecclesmachan,31003,,,
281,Echt,17012,,,
282,Eckford,03006,,,
283,Eday,54003,,,
284,Edderton,25007,,,
285,Eddleston,04003,,,
286,Eddrachillis,27006,,,
287,Edinburgh,29005,30014,,
288,Edinkillie,19014,,,
289,Ednam,03007,,,
290,Edrom,01011,,,
291,Edzell,51014,,,
292,Elgin,19015,,,
293,Elie,14017,,,
294,Ellon,17013,,,
295,Errol,53026,,,
296,Erskine,49001,,,
297,Eskdalemuir,08008,,,
298,Ettrick,02006,,,
299,Evie and Rendall,54004,,,
300,Ewes,08009,,,
301,Eyemouth,01012,,,
302,Fala and Soutra,02020,30007,,
303,Falkirk,06005,,,
304,Falkland,14018,,,
305,Farnell,51015,,,
306,Farr,27007,,,
307,Fearn,25008,,,
308,Fenwick,44002,,,
309,Fern,51016,,,
310,Ferry Port on Craig,14019,,,
311,Fetlar,55004,,,
312,Fettercairn,18013,,,
313,Fetteresso,18014,,,
314,Findo Gask,53027,,,
315,Fintray,17014,,,
316,Fintry,07009,,,
