place,place_EN,place_SCO,coords
http://www.wikidata.org/entity/Q1017022,Aberchirder,Fogieloan,Point(-2.63004 57.5583)
http://www.wikidata.org/entity/Q323196,Aboyne,Abyne,Point(-2.77949 57.0766)
http://www.wikidata.org/entity/Q64947604,Aikenshill,,Point(-2.054092 57.288207)
http://www.wikidata.org/entity/Q2638187,Alford,Aaford,Point(-2.71 57.23)
http://www.wikidata.org/entity/Q4731066,Allanaquoich,,Point(-3.45 57.0)
http://www.wikidata.org/entity/Q4783010,Aquithie,,Point(-2.42304 57.2473)
http://www.wikidata.org/entity/Q4784966,Arbuthnott,,Point(-2.32403 56.8711)
http://www.wikidata.org/entity/Q66022860,Ardiffery,,Point(-1.898889 57.418423)
http://www.wikidata.org/entity/Q66022835,Ardmachron,,Point(-1.849992 57.429038)
http://www.wikidata.org/entity/Q4788232,Ardonald,,Point(-2.91 57.48)
http://www.wikidata.org/entity/Q4788247,Ardoyne,,Point(-2.58 57.33)
http://www.wikidata.org/entity/Q28035299,Auchallater,,Point(-3.39065 56.977988)
http://www.wikidata.org/entity/Q64947528,Auchattie,,Point(-2.513377 57.039328)
http://www.wikidata.org/entity/Q64947547,Auchedly,,Point(-2.171685 57.388774)
http://www.wikidata.org/entity/Q758601,Auchenblae,,Point(-2.46 56.89)
http://www.wikidata.org/entity/Q64854632,Auchlee,,Point(-1.931149 57.523877)
http://www.wikidata.org/entity/Q4819450,Auchleven,,Point(-2.63 57.3)
http://www.wikidata.org/entity/Q64713228,Auchlossan,,Point(-2.712479 57.107851)
http://www.wikidata.org/entity/Q64947511,Auchmacoy,,Point(-2.009462 57.367176)
http://www.wikidata.org/entity/Q4819467,Auchnagatt,Auchnagatt,Point(-2.114 57.466)
http://www.wikidata.org/entity/Q64947510,Auchnerran,,Point(-2.961113 57.11402)
http://www.wikidata.org/entity/Q2870664,Auchterless,,Point(-2.48417 57.4608)
http://www.wikidata.org/entity/Q4821762,Auldyoch,,Point(-2.53 57.45)
http://www.wikidata.org/entity/Q4839582,Backburn,,Point(-2.78 57.39)
http://www.wikidata.org/entity/Q4839666,Backhill,,Point(-2.36 57.44)
http://www.wikidata.org/entity/Q4840782,Badenscoth,,Point(-2.51 57.43)
http://www.wikidata.org/entity/Q4840787,Badenyon,,Point(-3.09528 57.2572)
http://www.wikidata.org/entity/Q4848571,Bainshole,,Point(-2.65 57.404)
http://www.wikidata.org/entity/Q4850746,Balfour,,Point(-2.35444 57.0592)
http://www.wikidata.org/entity/Q805175,Ballater,Ballater,Point(-3.04942 57.0448)
http://www.wikidata.org/entity/Q4851832,Ballogie,,Point(-2.70889 57.0489)
http://www.wikidata.org/entity/Q65920561,Balmain,,Point(-2.577277 56.842212)
http://www.wikidata.org/entity/Q805468,Balmedie,Balmedie,Point(-2.05 57.25)
http://www.wikidata.org/entity/Q806177,Banchory,Banchry,Point(-2.49 57.055)
http://www.wikidata.org/entity/Q4854063,Banchory-Devenick,,Point(-2.15639 57.1128)
http://www.wikidata.org/entity/Q54809,Banff,Banff,Point(-2.524 57.667)
http://www.wikidata.org/entity/Q4865193,Barthol Chapel,,Point(-2.31 57.308)
http://www.wikidata.org/entity/Q4882715,Belhelvie,,Point(-2.088 57.249)
http://www.wikidata.org/entity/Q4883399,Bellabeg,,Point(-3.0658 57.1991)
